Cluster,Data Points
1690,"ronza, ronza apartments"
1691,"millennium hail hotel, millennium hail"
1692,"bayt  diyafa, bayt  diyafa apartments, bayt ward  diyafa"
1693,"marjan beach resort, marjan resort  beach"
1694,"airport hotel, star airport"
1695,"city suites, madinah city suites"
1696,"arabiya, dar  arabiya, dar  arabiya"
1697,"afak  raha, afak  raha apartments"
1698,"ali fayez break, ali fayez break apartments"
1699,"wadi  batin, batin"
1700,"almuhaidib, almuhaidib residence"
1701,"karam hiraa hotel apartments, karam hiraa"
1702,"dar saden, dar saden apartments"
1703,"rwaheel  huda 1, rwaheel  huda"
1704,"manarat  musk hotel company, manarat  musk hotel company, manarat  musk"
1705,"hilton doubletree, doubletree  hilton, hilton doubletree hotel suites"
1706,"mira  rawdah, mira  rawdah 2, mira rawdah"
1707,"ayan, ayan suites"
1708,"valencia suites, valencia"
1709,sabia meeting furnished apartments
1710,"mirage  sam, mirage  sam"
1711,"abdullah saeed bin aliyah apartments, abdullah saeed abdullah bin aliyah apartments"
1712,"jeddah, q suites jeddah"
1713,"lador entertainment, lador entertainment establishment"
1714,"sela, sela 3"
1715,"seven palaces hotel apartments, seven palaces"
1716,"noor amal apartments, noor amal"
1717,"laten suites  naseem, laten suites"
1718,danat alnakheel
1719,"luxury hotel, luxury hotel apartments, luxury hotel apartments"
1720,"hijaz 2, hijaz 7, hijaz 3, hijaz, hijaz hotel, hijaz 4, hijaz 6"
1721,"hussein ahmed  hazmi, hussein ahmed  hazmi apartments"
1722,"omari, omari apartments"
1723,"amwaj hotel, amwaj apartments, amwaj"
1724,"manar, manar, manar apartments"
1725,"shaza  wisam 2, shaza  wisam"
1726,"intercity, intercity hotel"
1727,"azka  maqam, azka  maqam"
1728,"riyadh hotel limited, limited hotel"
1729,"lana land chalets   model 1, lana land chalets model 2"
1730,"new suites, new apartments"
1731,"masa  sharq suites, masa  sharq apartments, masa  sharq"
1732,"q resort, resort  hotel, hotel  resort"
1733,fayrooz farm
1734,"ham  sahab, ham  sahab recreation"
1735,ahmed mohsen judge apartments
1736,istoria (the legend)
1737,"burj  janoub, burj  janoub apartments"
1738,restart company villa
1739,"i hassan ahmed  hamami, hassan ahmed  hamami commerci establishment"
1740,"yanbu star, star yanbu hotel suites"
1741,"darat  sam, darat  sam hotel"
1742,"cor  ahsa hotel, cor plaza  ahsa, cor  ahsa, cor  ahsa"
1743,"luluat  khobar 2, luluat  khobar, luluat  khobar apartments"
1744,"comfort, comfort apartments, comfort furnished apartments"
1745,"sama diwaniya, diwaniya"
1746,"flora hotel suites, flora park hotel suites 2, flora park hotel suites"
1747,"kuwait  raqi, kuwait  raqi"
1748,"yan hotel apartments, yan apartments"
1749,"bahader resort jeddah, bahader resort"
1750,"millennium copthorne  naseem, millennium  copthorne"
1751,durrat  layi
1752,"dar rida apartments, dar rida"
1753,"lausanne oasis, lausanne"
1754,"la caza apartments, la caza"
1755,"abha palace hotel, abha palace, palace abha"
1756,"hassan abdulrahman saad  qaoud establishment, hassan abdulrahman  qaoud"
1757,"crown tower, crown"
1758,"sarah 6, sarah furnished apartments"
1759,"jeddah oasis hotel, jeddah oasis"
1760,"taj apartments, taj, taj, taj"
1761,"dar beirut, beirut furnished apartments"
1762,hayat accommodation
1763,"golden star, golden star hotel"
1764,"lana jeddah, lana jeddah furnished apartments"
1765,"rona  khobar, rona  khobar hotel, rona"
1766,"ahsa grand hotel, ahsa grand apartments, ahsa grand, ahsa grand hotel & suites"
1767,masaken diwan
1768,"bin nader, nader"
1769,"lafontaine najd, lafontaine"
1770,"burj  hayat, burj  hayat, burj  hayat hotel suites"
1771,"rose inn, rose inn apartments"
1772,"royal, royal furnished apartments"
1773,"ibis, ibis hotel"
1774,"stone village hotel villas, stone village"
1775,"safwah  beit, safwah"
1776,"palace, palace hotel, palace"
1777,"oasis, oasis, oasis hotel, oasis apartments"
1778,"bilsan golden 2, bilsan golden apartments, golden bilsan, golden bilsan apartments"
1779,"mövenpick hotel  residences riyadh, mövenpick riyadh"
1780,arab palace
1781,"karam furnished apartments, dar  karam furnished apartments"
1782,dana mahayel
1783,"hala apartments, hala hotel, hala"
1784,"moro international  apartments  hotels, moro international"
1785,"abha elite, abha elite apartments, elite abha"
1786,"sarwat park abha, sarwat park"
1787,"mubarak 1, mubarak, dar mubarak, mubarak  mubarak pace"
1788,"israa golden star, israa gold star"
1789,"nahda, nahda hotel, nahda apartments, nahda palace"
1790,"am, am, am"
1791,"kaec coast oasis 7, kaec coast oasis 6, kaec coast oasis 2, kaec coast oasis"
1792,"park tulip, tulip park apartments"
1793,"holiday inn  azdhar, holiday inn riyadh azdhar"
1794,"orchid suites, orchid suites 3"
1795,"crowne plaza jeddah, crowne plaza jeddah  sam, crowne plaza"
1796,"raghad  shati apart hotel, raghad  shati"
1797,rawabi daren
1798,"wyndham garden, wyndham garden dammam"
1799,"dubai hotel, dubai hotel apartments"
1800,"muhaidib residence internation, muhaidib internation hotel"
1801,"golden new, golden new palace"
1802,"fanar oris hotel apartments, oris  fanar apartments"
1803,"blue rose, blue rose apartments, blue rose suites"
1804,"family balsam, balsam family limited"
1805,"crown plaza, crown plaza  waha"
1806,"jameel, jameel furnished apartments"
1807,"ara'ik apartments, ara'ik guest apartments"
1808,"riyadh  tawhid hotel, tawhid"
1809,"le chateau boutique hotel, le chateau"
1810,"tanumah furnished villas, tanumah"
1811,"red sea seasons, red sea seasons apartments, red sea seasons hotel"
1812,"fairmont clock tower makkah hotel, fairmont clock tower makkah"
1813,"green leaf hotel, green leaf"
1814,"olive, olive suites, olive"
1815,"dar ranim furnished apartments  4, dar ranim furnished apartments, dar ranim"
1816,"rabwat  safwah, rabwat  safwah 7, rabwat  safwah 8"
1817,"vip furnished apartments, vip  apartments"
1818,"star night, night star, night star apartments"
1819,tharwat  rushad
1820,"sanam suites, sanam, sanam hotel suites"
1821,"ahla  awqat, ahla  awqat apartments"
1822,"hilton suites makkah, makkah hilton"
1823,"han  janoub, han  janoub hotel apartments"
1824,oyo 527 reef  sharqiyah
1825,"arif, arif hotel, arif hotel apartments"
1826,"taj granada, taj granada furnished apartments"
1827,"slava, slava apartments"
1828,"nahdi, nahdi furnished apartments"
1829,ramada  wyndham madinah  hamra
1830,"ayyari commerci  limited, ayyari commerci  limited"
1831,"diafah furnished units, diafah"
1832,"grand plaza badr  maqam, grand plaza badr  maqam, grand plaza  maqam"
1833,"romantic apartments, romantic hotel, romantic"
1834,"bad inn, bad inn"
1835,"dolph hotel suites, dolph hotel apartments, dolph"
1836,nuqaa oasis
1837,"tabuk star, tabuk star 2, golden star tabuk"
1838,"samaa abha apartments, samaa apartments"
1839,"adwa  sam, adwa"
1840,"manami apartments, dar manami, manami"
1841,"signature, signature hotel"
1842,"hijrah masri, masri"
1843,"radisson blu hotel & residence, radisson blu residence"
1844,"quraish jewel hotel, jewel quraish hotel 1"
1845,"novotel jeddah, novotel"
1846,"emaar  yat hotel, yat"
1847,"zahrat roza, zahrat roza serviced apartments"
1848,"saraya, saraya apartments, saraya, saraya, saraya hotel"
1849,pear laa apartments
1850,"marsa, marsa furnished apartments"
1851,"sama, sama, sama 2, sama'i, sama hotel"
1852,"abha palace center, abha center apartments, abha center"
1853,"olya, olya suites apartments"
1854,"nusk  madinah, nusk madinah hotel limited"
1855,"sulaimaniyah deluxe, sulaimaniyah"
1856,"diyar  sam, diyar  sam  fadhi"
1857,altayseer towers
1858,"darak, darak apartments"
1859,"rahaba pace, rahaba, rahaba"
1860,"granada west serviced apartments, granada west"
1861,"saraya tabah hotel, saraya tabah"
1862,"rahab  marwah hotel, rahab  marwah 3, rahab  marwah"
1863,"essa hospitity limited, essa hospitity company"
1864,"180 degrees furnished residential units, 180 degrees"
1865,"faris knights gardens, knights gardens"
1866,"rawabi salam hotel management, rawabi salam hotel management company"
1867,"namas center, namas furnished apartments center"
1868,makeen homes  warwick
1869,"atana park, atana park apartments"
1870,hadoa suites
1871,"marina palace, marina palace hotel apartments, marina palace hotel"
1872,"happy night villa, happy night"
1873,"your address  residential units, your address residential units"
1874,"dara  mazar golden hotel, dara  mazar  dhahabi"
1875,"hayat star, star hayat villa"
1876,"wafada  zahraa hospitity services, wafada  zahraa"
1877,"marbella chalets  villas, marbella villas"
1878,diyar almashaer
1879,taiba inn
1880,"iwan, iwan, iwan tower"
1881,"qasr  ai, ai"
1882,"rahma, rahma residence"
1883,"qimat rahati aparthotel, qimat rahati"
1884,"halim sabia residential units, subsidiary  halim sabia foundation, halim sabia"
1885,"atlas  qemma furnished units, atlas  qemma hotel"
1886,"sahab  sayf, sayf"
1887,"le meridien riyadh, le meridien jeddah, le meridien, le meridien hotel"
1888,"kayan hotel, kayan hotel suites"
1889,"lumar suites, lumar hotel suites"
1890,"rotana rosh rayhan, rosh rayhan rotana"
1891,"qasr  hadaf, hadaf pace, hadaf"
1892,"iwan alandalusia, iwan alandalusia"
1893,"ideal four suites, ideal suites"
1894,"alhambra, alhambra palace"
1895,"jowharat  khair, jowharat"
1896,"liqa'  qareeb, liqa  qareeb"
1897,"frontel jeddah  tahlia, frontel  tahlia"
1898,"m saeed  ghamdi, ghamdi"
1899,"manazel almasa yanbu, manazel almasa, manazel almasa apartments"
1900,"qasr  mumayyaz, mumayyaz, qasr  mumayyaz apartments"
1901,"rina apartments riyadh, rina"
1902,"anwar zahra  madinah hotel, zahra  madinah hotel"
1903,"dana  jubail suites, dana  jubail apartments, dana  jubail"
1904,"qasr  arabi, qasr  arabi"
1905,"park inn  radisson, park inn  radisson jeddah, park inn radisson, radisson park inn, park inn  radisson"
1906,"manarat tabah hotel management  operation company, manar tabah hotel management  operation company"
1907,saraya furnished apartments
1908,mioat taif
1909,anumeis suites  hotel room tower
1910,marahel furnished residenti units  kharj 1
1911,"saf  janoub hotel apartments, saf hotel"
1912,"beit  sharqi, sharqi hotel"
1913,"iowa express, iowa express   jabir"
1914,"ghoroub  shams, ghoroub  shams villas, ghoroub  shams"
1915,"nasiriya resort, nasiriya, nasiriya hotel"
1916,"classic palace, classic hotel"
1917,"sama  taif, sama  taif 3, sama  taif apartments, sama  taif, sama taif"
1918,"above  clouds, above  clouds serviced apartments"
1919,"shams garden, shams garden apartments"
1920,"ghaliyah ahad, ghaliyah ahad residential units"
1921,"bariq abha 2, bariq abha resort, bariq abha"
1922,"guesthouse apartments, guesthouse"
1923,"nakhlah, nakhlah"
1924,oberi
1925,"mutahidun services limited, mutahidun services limited company"
1926,"basmat  sharqia apartments, basmat  sharqia apartments"
1927,"izdihar  7, izdihar"
1928,"baida suites, baida"
1929,"ardh  shati apartments, ardh ash shati apartments"
1930,"ajyad  jawar, ajyad  jawar hotel"
1931,"mariposa apartments, mariposa"
1932,"layl  hadi, layl  hadi"
1933,"dar qasr  manar, qasr  manar"
1934,"cor  jubail, cor beach  jubail"
1935,mdaen
1936,khuzamah
1937,"marasina, marasina hotel"
1938,"sadeer karam, karam sadeer"
1939,"hail gate, hail gate hotel"
1940,"ritage  safwa, ritage  safwa"
1941,huraidah
1942,"qasr serviced apartments (sole proprietorship), qasr serviced apartments (sole proprietorship)"
1943,"abis yanbu, abis yanbu hotel"
1944,"afraa  taif, afraa"
1945,eram
1946,"sama  rifaa, sama  rifaa 2, sama  rifaa 3"
1947,"kyan suites apartments, kyan suites  apartments"
1948,hazeda
1949,sijaya
1950,bastan
1951,alhedaya
1952,attas
1953,hadaya
1954,"faraj  madina, faraj  madina hotel"
1955,wajids
1956,alnasr
1957,gadwa
1958,furnished apartments  annual rent
1959,"aloft riyadh, aloft hotel"
1960,jouhar
1961,"azm apartments, azm hotel"
1962,"kinda suites, kinda"
1963,ueiri
1964,hanif
1965,"manam  kharj, manam  kharj apartments"
1966,"pearl abu arish, abu arish"
1967,alsanad
1968,alkilawy
1969,hamidi
1970,almawasem
1971,"jazala apartments, jazala apartments riyadh, jazala"
1972,"areef furnished apartments, areef, areef apartments"
1973,"musafir residenti, musafir residenti apartments"
1974,"khair  nuzul apartments, khair  nuzul"
1975,makarem alshorofat
1976,lilake
1977,dreamland
1978,naheet
1979,moghtrah
1980,"hidayah towers, hidayah towers hotel, hidayah towers hotel company"
1981,carmen
1982,bandakiah
1983,"dana  sharqiyah, dana  sharqiyah apartments"
1984,cadena
1985,alnakaba
1986,warediya
1987,"bariq  jawhara, bariq  jawhara"
1988,"rabee spring, rabee spring"
1989,bannadrah
1990,ajy  na'iriya apartments
1991,"garden flower apartments, flower garden"
1992,"sun rise, sun rise cottage"
1993,"reem  jadid hotel, reem  jadid"
1994,abdul karim bin abdullah  suloom farm
1995,"nawara shams, nawara"
1996,"m beach, beach apartments"
1997,"fanar oasis villas, fanar oasis"
1998,hiyah
1999,zievle
2000,foulan
2001,majarda
2002,messarra 3
2003,"golden galaxies furnished units, golden galaxies apartments, golden galaxies"
2004,shaala hotel chalet
2005,abasiyah
2006,remaj
2007,"furnished apartments, units,  rooms, furnished apartments  rooms"
2008,"samaa  taif, samaa  taif"
2009,bassel
2010,khaleejiyah
2011,"sahab apartments riyadh, sahab riyadh"
2012,nami
2013,blue bow
2014,"royal touch, royal touch"
2015,aseel feradah
2016,"golden guest, golden guest hotel"
2017,"rahati huna apartments, rahati huna"
2018,"wasam  hurra residenti units, wasam  hurra"
2019,oyo 652 home
2020,"durar rama, durar rama apartments"
2021,danyalin
2022,mohsin  harabi
2023,"lonan, lonan 3"
2024,nevel
2025,hera homes
2026,"ameen, ameen"
2027,hindam
2028,"awafaz, awafaz"
2029,"riviera, riviera"
2030,alnaserya 7
2031,"aleiiri, aleiiri 2"
2032,quality suites
2033,"bashair taybah, bashair taybah apartments"
2034,"baiji, baiji"
2035,mughatra
2036,"biz, biz"
2037,"nujom  jazerah, nujom  jazerah"
2038,bin khamash
2039,"birq, birq"
2040,"jadiah, jadiah"
2041,"safiya, safiya"
2042,"rawabi, rawabi"
2043,"manar  fadhi, manar  fadhi hotel"
2044,"abha crown, crown abha hotel"
2045,"hammad, hammad"
2046,"anwar ahad, anwar ahad apartments"
2047,"royal palace, royal palace apartments"
2048,"diafati, diafati 2"
2049,"alrayah, alrayah"
2050,"salsabeel hamouda 2, salsabeel hamouda"
2051,"aknan  dhahabia, aknan  dhahabia"
2052,"holiday, holiday n, holiday apartments"
2053,tanura  ula
2054,iridium
2055,zahra  saneed
2056,melissa
2057,"eiri, eiri furnished units"
2058,"hamra turaif, turaif"
2059,"athman furnished apartments, athman 1, athman hotel, hotel athman, athman apartments, athman"
2060,"arish park, arish park apartments"
2061,"red rose, red rose apartments"
2062,"wajd  rose, wajd rose"
2063,muzher
2064,rastan
2065,aalya najd
2066,rahmaniyah farm
2067,"lena park 5, lena park 2, lena park 4, lena park, lena park 3"
2068,"green house apartments 1, green house"
2069,mars
2070,"golden hotel, v golden"
2071,"diar apartments, diar suites"
2072,wadi  khams
2073,fath residences
2074,wahat  saeh hotels management
2075,elissa
2076,"courtyard  marriott riyadh  olaya, courtyard marriott  olaya, courtyard  marriott riyadh olaya"
2077,"jazan inn, jazan residential inn"
2078,"jabal omar, jabal omar jumeirah"
2079,karawan village
2080,lavender perfume  events
2081,labbaik
2082,"white sands, white sands hotel"
2083,"mian furnished apartments, mian, mian apartments, mian g hotel"
2084,"wahat jeddah, wahat jeddah hotel company"
2085,"mohammed, mohammed"
2086,safwat alkhobar
2087,padova 2
2088,"furnished hotel apartments, furnished hotel  apartments, hotel  furnished apartments"
2089,drees aparthotel
2090,gardens view
2091,asfarkom aparthotel
2092,"royal hotel suites, royal suites, royal suites hotel"
2093,"grand  safi, grand  safi, grand safi"
2094,manarat  bukhari restaurant
2095,kout
2096,faisalia luxury hotel  apartments
2097,"andalus tulip hotel, andalus tulip"
2098,zayed
2099,ru'oom inn
2100,"dar  atif apartments, dar atif"
2101,melaf
2102,taj aldammam hotel apartment
2103,owaifi
2104,wid  ghamdi
2105,"rawafed, dar rawafed, rawafed"
2106,"sasco oasis, oasis sasco"
2107,"tarf yanbu 2, tarf yanbu"
2108,"mabeet 2, mabeet"
2109,"rand hotel, rand"
2110,albatall complex
2111,"miskan  raha, miskan  raha"
2112,"alnakheel, alnakheel park"
2113,"dana apartments sharjah, dana  sharjah, dana sharjah"
2114,"rosh plus, rosh plus serviced apartments"
2115,"admire apart, admire apart' hotel"
2116,wauq alasraf
2117,qadisiyya
2118,rabbau
2119,"shumukh, shumukh, shumukh 2"
2120,"sahari jazan, sahari jazan apartments"
2121,agmal
2122,albaha furnished apartments
2123,ghana
2124,baas accommodation
2125,"haramain, haramain furnished apartments"
2126,"wa  sad hotel, wa  sad"
2127,"budl  qasr, budl"
2128,"burj  saadah apartments, burj  saadah"
2129,"narjis b 4, villa  narjis"
2130,"wi hotel, wi pace"
2131,abu alait
2132,sakura
2133,rottan
2134,"durrat  andus, durrat  andus"
2135,farabi
2136,"namaa, namaa"
2137,"rama  madinah hotel, rama  madinah"
2138,ghusn  juboub furnished units
2139,"sultan emirates hotel, emirates hotel apartments"
2140,"centro salama jeddah  rotana, centro salama"
2141,"white palace resort, white palace, white palace villa"
2142,"bahia apartments, dar  bahia, bahia"
2143,dhirov resorts hotel
2144,"akam apartments, akam"
2145,rabiah inn
2146,"galina apartments, galina"
2147,jak furnished apartment
2148,ashqad
2149,"hakaya apartments, hakaya"
2150,"hotel apartments, f hotel apartments"
2151,platinum hotel allegiance
2152,rafidien masi
2153,"alyasmin apartments, alyasmin"
2154,mabet
2155,"arcadia, arcadia apartments"
2156,"banan, banan apartments"
2157,"kutrah, kutrah apartments"
2158,"douz apartments, douz"
2159,"mkhtaron hotel 2, mkhtaron hotel 1"
2160,masia hira
2161,amasi  kuwaz
2162,"diva, diva apartments"
2163,"gaida apartments, gaida"
2164,husseini center
2165,"friesian, friesian apartments"
2166,"ithar, ithar apartments"
2167,"batawa, batawa apartments"
2168,"hilton garden inn riyadh  olaya, hilton garden inn  olaya, hilton garden inn riyadh olaya"
2169,abu shiba furnished apartments
2170,"sarabia apartments, sarabia"
2171,"wafid apartments, wafid"
2172,"manarah  qurayat, manarah  qurayat apartments"
2173,fakhamet  aseel
2174,"naya apartments, naya"
2175,"lilac apartments, lilac"
2176,"anwar  habib, anwar  habib apartments"
2177,"metro, metro apartments"
2178,"rakaz, rakaz apartments"
2179,rawdat  mibi
2180,"shagraa apartments, shagraa"
2181,"malva apartments, malva"
2182,"rebal apartments, rebal"
2183,"luluat  nargis apartments, luluat  nargis apartments"
2184,"zifl apartments, zifl"
2185,banguib building
2186,amwaj alshate
2187,world countries furnished units
2188,"riouf, riouf apartments"
2189,"serene, serene apartments"
2190,"saif boutique hotel international, saif boutique international hotel"
2191,"aseel tower, aseel tower"
2192,reef global hotel
2193,nasim  reefi
2194,manayer  am
2195,konuz ul aziziyah
2196,"desert rose, desert rose apartments, desert rose hotel 1"
2197,"dar  yousuf, yousuf"
2198,fahama  jawhara
2199,"rukaz, rukaz apartments"
2200,goot resorts
2201,"najd resort, najd resort 2"
2202,sulayyil land
2203,"iskan 4, iskan hotel 3"
2204,"somewhere hotel, somewhere"
2205,"durrat  zain apartments, zain apartments"
2206,"jouf towers, jouf"
2207,safwat alrefa'a
2208,"yamam, yamam hotel"
2209,forsan  aseel
2210,"wafideen hotel, wafideen"
2211,"artal international, artal international hotel"
2212,"brief hotel, brief"
2213,initial camp
2214,"qasr  nada, qasr  nada apartments"
2215,sanbat platinum
2216,thora
2217,emaar  dahaby
2218,deer park
2219,aryaf west farm
2220,"timandra, timandra hotel"
2221,"gulf villa apartments, gulf villa"
2222,mahdeeb  hamra hotel
2223,"ghassan, ghassan hotel"
2224,durr  khedeyah
2225,"durrat  yasmin, durrat  yasmin apartments"
2226,"badia, badia hotel"
2227,"abral hotel, abral"
2228,obain
2229,ghosn arak hall
2230,manazili  corniche
2231,"qasr  arab apartments, qasr  arab"
2232,sea neighbor
2233,radisson blu resort staff housing
2234,bakri family
2235,"hamra elite, elite  hamra hotel"
2236,"durrat  bilad, bilad"
2237,oyo 560  eairy apartment dammam 4
2238,"najmat manami apartments, najmat manami furnished units"
2239,"almasam, masa almasam"
2240,lejeune rass
2241,"noor alsafwa 3, noor alsafwa"
2242,tine  anf
2243,clock towers
2244,asfarcom hotel suite
2245,ibn harees furnished apartments
2246,"seven seas 2, seven seas, seven seas"
2247,arkanah
2248,sidra tul aliya
2249,"mecca hotel, hotel mecca"
2250,durrat  masafi
2251,"mrakez alarab, mrakez alarab furnished apartments 3"
2252,"diar  manar serviced apartments, manar serviced apartments"
2253,"shaiki, shaiki hotel"
2254,"sahab  namas apartments, sahab  namas furnished apartments"
2255,"lina park, lina park 4, lina park 2, lina park 5"
2256,"khoud  hijaz, khoud  hijaz 1, khoud  hijaz 2"
2257,torres rabigh
2258,la fontaine raiyana sabya
2259,yawm wa laila
2260,"hilton jeddah, jeddah hilton"
2261,"sultan inn apartments, sultan inn"
2262,"moments hotel, moments hotels, moments"
2263,"golden night, golden night hotel"
2264,luluat mahayel
2265,"grand millennium, grand millennium jazan"
2266,tera alsalam
2267,"olayan golden hotel, olayan golden"
2268,"asdaa  raha, asdaa  raha furnished apartments, asdaa  raha apartments"
2269,oyo 186  taif gate
2270,"rose  adl apartments, rose  adl"
2271,"beauty rayan 2, beauty rayan"
2272,zouk  khay
2273,lounge dan
2274,"abhar, abhar hotel"
2275,"dar hotel, dar hotel"
2276,"diar  ahbab apartments, diar  ahbab"
2277,golden furnished units
2278,cooperation summit
2279,"east park, east park apartments"
2280,khuzama tourist hotel  chets
2281,"jawhara turbah apartments, jawhara turbah"
2282,"tajreed suites, tajreed"
2283,"shorouq apartment, shorouq apartment"
2284,ornesis  badr
2285,"bram suites, bram"
2286,"deira apartments complex, deira complex"
2287,"tarhal, tarhal suites"
2288,"ritan, ritan suites"
2289,asoul najed 2
2290,"amara suites, amara"
2291,"dar karm, dar karm apartments"
2292,"randan, randan suites"
2293,americana staff house suwaidy
2294,mashaer khaleej
2295,oyo 191  nabares pace apartment hotel
2296,bondoqia square
2297,"rekaz diamond, rekaz"
2298,oyo 611 jumeirah furnished units
2299,"danar hotel apartments, danar 3"
2300,"arkan  bahia, arkan  bahia hotel apartments"
2301,"mohammed abdulaziz  rajhi, mohammed abdulaziz  rajhi mövenpick hotel"
2302,"thabit, thabit hotel apartments"
2303,zomordah  rais
2304,"dana  matar apartments, dana  matar"
2305,as sumai'a suites
2306,hyatt place riyadh  sulaimania
2307,safir
2308,aryaf alsahab
2309,kahili tourist accommodation
2310,ma'arajiyah second
2311,"tuhfa  rawdah, tuhfa  rawdah"
2312,manazil maali
2313,zawaya  masiya
2314,"key apartments, key hotel"
2315,rahab  marsa hotels
2316,sheraa mawaddah
2317,hahat salam
2318,ayoun hotel
2319,tayer endowments monthly furnished apartments
2320,"bayt  wahid, bayt  wahid"
2321,"golden address, golden address"
2322,sadeem  qoz
2323,"qasr  baha apartments, qasr  baha"
2324,dahr  rim
2325,iri furnished apartments 2
2326,"dar  olaya, dar  olaya"
2327,fahad abdulmajeed  tuwaim apartments
2328,khor dubai
2329,"park hayat apartments, park hayat"
2330,"hana yanbu hotel apartments, hana yanbu"
2331,"bahget eljouf furnished apartment, bahget eljouf"
2332,"samaya  khobar, samaya  khobar"
2333,saif tabuk aparthotel
2334,maskan  fagher
2335,"hayat  qurayat, hayat  qurayat apartments"
2336,diyar tabah
2337,rehab almarwa
2338,"taj  mqa, taj  mqa apartments"
2339,ncomforts rawda2
2340,lulu  suwais
2341,park inn  radisson jubail industrial city
2342,khurma
2343,"zaha  madinah, zaha  madinah, zaha  madinah hotel"
2344,"swiss spirit residence  wadi, swiss spirit  wadi"
2345,rehab aljanadriyah
2346,"warqan  noor hotel, warqan  noor"
2347,refa  sud
2348,amariyah hills resort
2349,bn ghurayb
2350,ahlah  ayam
2351,ayyo 595
2352,safwa towers complex
2353,safwat  mujarradah
2354,ben delightful suites
2355,markez shahar furnished apartments
2356,"villa farah, farah villa"
2357,rehab  akheer
2358,diar makkah villas
2359,reef  hassa
2360,asfar  olaa
2361,"madar suites international, madar international apartments"
2362,"vivienda hada residence, vivienda residence"
2363,jigcc stay
2364,"alebreez, alebreez palace"
2365,"amwaj inn, amwaj inn apartments"
2366,"howail furnished apartments, howail"
2367,menarat jarul
2368,wuris furnished residential units
2369,"damam palace, damam"
2370,"tayf, tayf suites"
2371,"bassam, bassam furnished apartments"
2372,"lemasat palace, lemasat"
2373,"lausanne taybah apartment, lausanne taybah"
2374,"h (hills), hills hotel"
2375,"zahra  hatim, zahra  hatim hotel"
2376,"park inn radisson makkah  naseem, park inn  radisson makkah  naseem"
2377,"bloudan suites, bloudan suites apartments"
2378,sa hotel
2379,"wissam  taj, wissam  taj"
2380,khobar inner place
2381,"masa darkom, masa darkom furnished apartments"
2382,"ma'i 1, ma"
2383,"shatha riyadh hotel, shatha riyadh"
2384,waqf  jehani
2385,"abu bandar, abu bandar apartments"
2386,"dar  asah, asah"
2387,"fakhama, fakhama, fakhama"
2388,aywan tabah furnished units
2389,"ambassador jeddah, jeddah ambassador"
2390,"fakher yanbu 3, fakher yanbu 5"
2391,mashael  madina  thani
2392,nawazi  tawsea
2393,jowan tourist hotel
2394,celebrity legend
2395,ana wal qamar
2396,mahdi ahmed hadi  hussein
2397,"dar  madi apartments, dar  madi"
2398,najmat sabbaba
2399,ra'abiah touristic village
2400,"dune's, golden dune"
2401,hikaya abir apartments
2402,"golden comfort, golden comfort apartments"
2403,rokn shumukh
2404,"garden city chalets  villas, garden city villas"
2405,"tramontane, tramontane hotel suites"
2406,"rival jeddah, rival"
2407,musk  bushair hotel
2408,"villa coral beach, coral beach"
2409,dar aljoud
2410,"horizon comfort, horizon comfort apartments"
2411,manzel alnour units
2412,sidqi riches
2413,"ranz jeddah, ranz"
2414,"awfad, awfad riyadh"
2415,corner mayoral
2416,golden tulip  nasiriah
2417,"reemas hotel suites, reemas"
2418,"dar erfad apartments, erfad"
2419,oasis avenue
2420,"trend, trend tower"
2421,"mutamayyezoon, durrat  mutamayyezoon"
2422,"taj furnished units, taj  kheej furnished units"
2423,"nouf villa, nouf 5"
2424,pearl  mashaer
2425,golden seven
2426,waqf  saai
2427,naji atiq  rifai trading establishment
2428,misk  bashayr
2429,"fakhr yanbu, fakhr yanbu 3"
2430,saudi ceramics new villa
2431,"albilad, albilad tower"
2432,"shl, qasr  shl"
2433,ben mariyat
2434,"hayat jizan, jizan"
2435,thoroughbred sunrise
2436,"happiness touch, touch  happiness"
2437,sheroq  adl
2438,ahla wajd aparthotel
2439,dia  afaq
2440,"yamama pace, yamama pace hotel apartments, yamama pace, yamama pace apartments"
2441,"raihana 2, raihana tower"
2442,elegant hearts suites
2443,nuzul makki hotel
2444,"baniyan 2, baniyan house"
2445,"abara apartments, abara hotel apartments"
2446,abahi alsafaniyah 2
2447,"joun hotel apartments, joun apartments"
2448,shuhri re estate office
2449,"warda  banafsaj, warda  banafsaj apartments"
2450,live life
2451,areej bashayer apartments
2452,"maas house, maas"
2453,devoli casa furnished suites
2454,"durrat granada apartments, durrat granada"
2455,"ideal house, ideal house"
2456,khaled bin saeed resort
2457,"coast oasis 5, coast oasis 3, coast oasis 4, coast oasis 8, coast oasis 1, coast oasis 9"
2458,abbad  rahman
2459,"laylati apartments, laylati, laylati suites"
2460,"dar  fath complex, dar  fath 4"
2461,"palm inn apartments, palm inn residence"
2462,"durrat  faisiah furnished units, durrat  faisiah"
2463,suitey  aqiq
2464,"aram palace, aram palace apartments"
2465,"mövenpick  khobar, mövenpick  khobar hotel, mövenpick hotel  khobar"
2466,"mahad  madinah, mahad 7"
2467,travel notes
2468,dar bilsan
2469,"muhadib residence, muhadib"
2470,manarat  raqiyyah 2
2471,"park jizan, park jizan apartments"
2472,maather  jiwer
2473,"dubai tower residential apartments, dubai tower apartments"
