Cluster,Data Points
130,"makan, makan suites, makan furnished apartments"
131,"areej hotel, areej, areej palace apartments"
132,"reyhana abha, reyhana inn"
133,"ramees furnished units, ramees apartments, ramees"
134,"lamar, lamar suites, lamar house"
135,"pearl tabarak, tabarak, tabarak hotel"
136,"ward suites, ward, ward, t  ward"
137,"irtiqa hotel, irtiqa pace, qasr  irtiqa, irtiqa"
138,"harith mohammed saleh, harith mohammed, harith mohammed saleh hotel"
139,"kinan suites, kinan taiba"
140,"beit  qarya  turathiyah, beit  qarya"
141,"millennium garden, garden millennium abha, garden millennium hotels, garden millennium apartments, garden millennium serviced apartments, garden millennium"
142,"palestine makkah hotel, palestine hotel, hotel palestine, palestine, durrat palestine hotel"
143,"floor, lavender floor"
144,"rawag  sam, rawag, durrat rawag"
145,"voco makkah, voco  khobar, voco"
146,"dalin palace, dana dalin, dalin"
147,"quiet rooms, quiet rooms suites 6, quiet rooms, quiet rooms tourism, quiet rooms serviced apartments"
148,"orchida  hamra, orchida  hamra  batha"
149,"musafir  mubashir travel  tourism agency, afak  musafir travel  tourism agency"
150,"zaeer  fakhama, dar zaeer"
151,"sundus, sundus  aww"
152,"faisal apartments, faisal oasis, faisal"
153,"narcissus riyadh, narcissus, narcissus hotel"
154,"sharafah, sharafah home apartments, sharafah apartments"
155,"qasr arij apartments, arij makkah, arij"
156,"abha apartments, abha furnished apartments, abha apartments  suites"
157,"aseel furnished apartments, aseel, dar  aseel 2, aseel"
158,"riyadh palace hotel, e hotel riyadh"
159,"violet, violet palace, violet hotel 2, violet inn"
160,"thurya resort, thurya palace, qasr  thurya"
161,"ahlam resort, ahlam resort  marina, ahlam resort"
162,"itqan, taj  itqan, itqan apartments, itqan"
163,"mihrab, dar  mihrab internation"
164,"dari, dari corner"
165,"inter, inter city plaza"
166,"qasr  rihan, rihan residences"
167,"hayat  mashriq, mashriq pace, qasr  mashriq, mashriq"
168,"vaza inn hotel suite, vaza"
169,"dana hotel & residences qassim, dana residences"
170,"am  sa'ada, sa'ada, shati  sa'ada, sa'ada beach, layi  sa'ada, sa'ada chets"
171,"yazen tower, yazen pearl"
172,"saja  madinah, saja chalets"
173,"emira grand, emira hotel suites"
